"","state_abrv","date","positive","positiveIncrease","positiveIncrease2","positiveCasesViral","positivePCRincrease","negative","negativePCRincrease","PCRincrease","pct_positive","state","CENSUS2010POP","POPESTIMATE2019","newcase_incidence","PCR_incidence","newcase_7MA","PCR_7MA","positivity_7MA","date_fmt"
"1398","WY",20200807,3000,42,42,2490,41,53625,475,516,7.94573643410853,"Wyoming",563626,578759,7.2569065880617,89.1562809390437,6.76323947322757,81.1588736787308,33.0457950973324,2020-08-07
"1399","KS",20200808,30638,0,0,NA,0,285874,0,0,NA,"Kansas",2853118,2913314,0,0,13.8575617222958,117.710817106763,11.8146750441105,2020-08-08
"1400","NE",20200808,28104,283,283,28104,283,269434,3353,3636,7.78327832783278,"Nebraska",1826341,1934408,14.6297988842064,187.964483190723,13.9799138252412,164.531695780533,8.57213541177906,2020-08-08
"1401","NM",20200808,21965,192,192,21965,192,590889,8280,8472,2.26628895184136,"New Mexico",2059179,2096829,9.15668373529744,404.03866982,9.29975691866146,373.639024859511,2.65779925610414,2020-08-08
"1402","OK",20200808,43080,825,825,43080,825,650485,6925,7750,10.6451612903226,"Oklahoma",3751351,3956971,20.8492809272547,195.856881437847,19.311307996517,203.521474235867,35.1404289624431,2020-08-08
"1403","CO",20200808,49893,457,457,46656,456,529238,7311,7767,5.87099266125917,"Colorado",5029196,5758736,7.93576923824951,134.873347206748,7.65048838098202,113.303633694219,7.0277224585013,2020-08-08
"1404","AZ",20200808,186107,1054,1054,184804,1013,830414,10622,11635,8.70648904168457,"Arizona",6392017,7278717,14.480573980277,159.849599867669,17.8701038344297,207.768170446208,16.4779003615231,2020-08-08
"1405","TX",20200808,481483,6959,6959,481483,6959,3531174,5166,12125,57.3938144329897,"Texas",25145561,28995881,23.9999605461203,41.8162841818809,25.1257362086311,130.500308942895,26.6100190958485,2020-08-08
"1406","UT",20200808,43751,376,376,43751,376,522604,6879,7255,5.18263266712612,"Utah",2763885,3205958,11.7281636253501,226.297412505092,13.5863111298223,147.47096321465,9.83264566146243,2020-08-08
"1407","WY",20200808,3013,13,13,2498,8,53625,0,8,100,"Wyoming",563626,578759,2.24618537249529,1.38226792153556,6.02273880097637,80.2949562277711,33.0457950973324,2020-08-08
